# z mu_apparent dmu
0.406473 22.733407 0.079365
0.326246 22.168865 0.064746
0.643121 23.209496 0.289329
0.618684 24.018509 0.293608
0.268354 21.530484 0.104297
0.438826 22.385359 0.089343
0.288981 21.610534 0.069401
0.437978 22.715951 0.123477
0.288342 21.819489 0.057331
0.225437 21.033217 0.064932
0.227994 21.099188 0.057996
0.412541 23.051636 0.149089
0.198141 20.949241 0.050388
0.481947 23.008002 0.151253
0.154635 20.218207 0.099425
0.237103 21.183464 0.077308
0.278979 21.643985 0.050973
0.568828 23.154336 0.150188
0.236100 21.232647 0.062670
0.308813 21.999304 0.065566
0.448956 22.928690 0.123932
0.541536 23.608745 0.169497
0.207228 20.849873 0.130111
0.448898 23.009816 0.140773
0.440246 22.679275 0.118861
0.403859 22.598984 0.128031
0.104096 19.473981 0.050749
0.259538 21.527117 0.048690
0.563849 23.456082 0.176944
0.229080 21.196176 0.060951
0.578834 23.717946 0.170927
0.608716 23.736484 0.159194
0.437946 22.951665 0.245434
0.133478 19.907041 0.082476
0.266265 21.247605 0.108847
0.454925 22.670772 0.137706
0.357725 22.411530 0.094231
0.516740 23.035740 0.262349
0.518753 23.201430 0.162221
0.196137 20.787229 0.078780
0.288047 21.676132 0.084598
0.231219 21.066600 0.056977
0.498926 23.088029 0.113230
0.607691 23.660695 0.203122
0.259111 21.360944 0.062860
0.619415 23.878960 0.191520
0.437972 22.715455 0.091234
0.341552 22.211794 0.091170
0.184827 20.783008 0.058870
0.255991 21.605865 0.087348
0.233703 21.283729 0.055859
0.553882 23.092632 0.105338
0.578826 23.649657 0.243443
0.502749 23.159573 0.157211
0.638654 24.092935 0.195707
0.249127 21.374811 0.056809
0.319526 22.105185 0.057117
0.533443 23.020775 0.149734
0.311940 21.968336 0.057804
0.311743 22.024256 0.084770
0.388959 22.357344 0.130409
0.597993 23.751659 0.315290
0.647649 24.090709 0.211706
0.563901 23.545601 0.204798
0.583815 23.562924 0.148419
0.508880 23.073560 0.129552
0.530882 23.396077 0.244828
0.302554 21.647868 0.111566
0.467811 22.726483 0.139124
0.180469 20.322873 0.094757
0.550527 23.095701 0.262790
0.420990 22.566074 0.105800
0.408999 22.717722 0.118352
0.312126 21.983098 0.098747
0.214097 20.996949 0.067781
0.338923 22.115958 0.119917
0.382858 22.344088 0.136390
0.367965 22.477449 0.216690
0.637861 24.249944 0.236071
0.379476 22.312798 0.270872
0.318921 22.188217 0.101340
0.458770 23.006720 0.186481
0.422410 22.661868 0.187516
0.363467 22.341783 0.121801
0.333521 22.129798 0.098970
0.335546 22.138366 0.084322
0.585785 23.849633 0.265427
0.425914 22.712997 0.157453
0.323434 22.354695 0.236529
0.258511 21.498377 0.133220
0.424747 22.588299 0.317240
0.526666 23.936541 0.272993
0.355960 23.204645 0.210560
0.524193 23.273318 0.080281
0.582299 22.944798 0.324098
0.331978 21.668218 0.084271
0.520831 23.460922 0.324053
0.403333 22.690219 0.171112
0.202574 20.951729 0.091026
0.422897 22.788426 0.152149
0.361955 22.602146 0.106169
0.432912 22.895019 0.135037
0.296013 22.014818 0.153271
0.337851 22.177159 0.105796
0.242921 21.415684 0.081226
0.359830 22.469018 0.129871
0.609790 23.482933 0.326067
0.604773 23.418751 0.196003
0.639750 24.031212 0.086680
0.425914 22.972679 0.122020
0.489867 23.560682 0.169476
0.534682 23.545830 0.069654
0.556326 23.614362 0.084699
0.524680 23.314159 0.299877
0.415493 22.805024 0.145050
0.542796 23.551128 0.095867
0.263500 21.525597 0.105580
0.216553 21.056050 0.103635
0.603107 23.874275 0.291480
0.382363 22.431290 0.173656
0.630969 24.068468 0.362508
0.341412 22.184630 0.144034
0.504402 22.899335 0.186852
0.402333 22.638121 0.260882
0.505855 23.239751 0.209082
0.390519 23.206155 0.278689
0.686994 23.915070 0.289220
0.493684 23.243442 0.229340
